id,code,name
l10n_pe_economic_activity_0111,0111,Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
l10n_pe_economic_activity_0112,0112,Cultivo de arroz
l10n_pe_economic_activity_0113,0113,Cultivo de hortalizas y melones, raíces y tubérculos.
l10n_pe_economic_activity_0114,0114,Cultivo de caña de azúcar
l10n_pe_economic_activity_0115,0115,Cultivo de tabaco
l10n_pe_economic_activity_0116,0116,Cultivo de plantas de fibra
l10n_pe_economic_activity_0119,0119,Cultivo de otras plantas no perennes
l10n_pe_economic_activity_0121,0121,Cultivo de uva
l10n_pe_economic_activity_0122,0122,Cultivo de frutas tropicales y subtropicales
l10n_pe_economic_activity_0123,0123,Cultivo de cítricos
l10n_pe_economic_activity_0124,0124,Cultivo de frutas de pepita y de hueso
l10n_pe_economic_activity_0125,0125,Cultivo de otros frutos y nueces de árboles y arbustos
l10n_pe_economic_activity_0126,0126,Cultivo de frutos oleaginosos
l10n_pe_economic_activity_0127,0127,Cultivo de plantas con las que se preparan bebidas
l10n_pe_economic_activity_0128,0128,Cultivo de especias y de plantas aromáticas, medicinales y farmaceuticas
l10n_pe_economic_activity_0129,0129,Cultivo de otras plantas no perennes
l10n_pe_economic_activity_0130,0130,Propagación de plantas
l10n_pe_economic_activity_0141,0141,Cría de ganado bovino y búfalos
l10n_pe_economic_activity_0142,0142,Cría de caballos y otros equinos
l10n_pe_economic_activity_0143,0143,Cría de camellos y otros camélidos
l10n_pe_economic_activity_0144,0144,Cría de ovejas y cabras
l10n_pe_economic_activity_0145,0145,Cría de cerdos
l10n_pe_economic_activity_0146,0146,Cría de aves de corral
l10n_pe_economic_activity_0149,0149,Cría de otros animales
l10n_pe_economic_activity_0150,0150,Cultivo de productos agrìcolas en combinaciòn con la crìa de animales
l10n_pe_economic_activity_0161,0161,Actividades de apoyo a la agricultura
l10n_pe_economic_activity_0162,0162,Actividades de apoyo a la ganadería
l10n_pe_economic_activity_0163,0163,Actividades poscosecha
l10n_pe_economic_activity_0164,0164,Tratamiento de semillas para propagación
l10n_pe_economic_activity_0170,0170,Caza ordinaria y mediante trampas y actividades de servicios conexas
l10n_pe_economic_activity_0210,0210,Silvicultura y otras actividades forestales
l10n_pe_economic_activity_0220,0220,Extracción de madera
l10n_pe_economic_activity_0230,0230,Recolección de productos forestales distintos de la madera
l10n_pe_economic_activity_0240,0240,Servicios de apoyo a la silvicultura
l10n_pe_economic_activity_0311,0311,Pesca marítima
l10n_pe_economic_activity_0312,0312,Pesca de agua dulce
l10n_pe_economic_activity_0321,0321,Acuicultura marítima
l10n_pe_economic_activity_0322,0322,Acuicultura de agua dulce
l10n_pe_economic_activity_0510,0510,Extracción de carbón de piedra
l10n_pe_economic_activity_0520,0520,Extracción de lignito
l10n_pe_economic_activity_0610,0610,Extracción de petróleo crudo
l10n_pe_economic_activity_0620,0620,Extracción de gas natural
l10n_pe_economic_activity_0710,0710,Extracción de minerales de hierro
l10n_pe_economic_activity_0721,0721,Extracción de minerales de uranio y torio
l10n_pe_economic_activity_0729,0729,Extracción de otros minerales metalíferos no ferrosos
l10n_pe_economic_activity_0810,0810,Extracción de piedra, arena y arcilla
l10n_pe_economic_activity_0891,0891,Extracción de minerales para la fabricación de abonos y productos químicos
l10n_pe_economic_activity_0892,0892,Extracción de turba
l10n_pe_economic_activity_0893,0893,Extracción de sal
l10n_pe_economic_activity_0899,0899,Explotación de otras minas y canteras n.c.p.
l10n_pe_economic_activity_0910,0910,Actividades de apoyo para la extracción de petróleo y gas natural
l10n_pe_economic_activity_0990,0990,Actividades de apoyo para otras actividades de explotación de minas y canteras
l10n_pe_economic_activity_1010,1010,Elaboraciòn y conservación de carne
l10n_pe_economic_activity_1020,1020,Elaboraciòn y conservación de pescados, crustáceos y moluscos
l10n_pe_economic_activity_1030,1030,Elaboraciòn y conservación de frutas,legumbres y hortalizas
